name, rating, votes, link, image, plot, genres, runtime, certificate, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult
"Scary Movie", "5.3", "26073", "https://www.imdb.com/title/tt32093575/", "https://m.media-amazon.com/images/M/MV5BNTJjMDk1NzAtMGVmNS00NTFmLWFlOTQtZDk5M2I2NjZiZDdlXkEyXkFqcGc@._V1_.jpg", "Two friends find themselves caught up in mayhem involving killers, monsters and supernatural creatures once again.", "Comedy, Horror", "96", "R", "crude humor comedy, slasher horror, pubic hair, criticism to republican party, diaper wearing woman", "US", "10", "DOWN 4", "Michael Tiddes", "Shawn Wayans, Marlon Wayans, Buddy Johnson", "Marlon Wayans, Shawn Wayans, Anna Faris", "Marlon Wayans, Shawn Wayans, Anna Faris, Regina Hall", "USD 30,000,000", "USD 54,336,626", "USD 99,155,344", "USD 204,225,885", "Tyler Perry Studios, Atlanta, Georgia, USA", "English", "Dolby Digital, Dolby Atmos", "2.39 : 1", "Color", "0", "1", "Movie", "False", "False", "False"
"Pressure", "7.4", "9462", "https://www.imdb.com/title/tt32547691/", "https://m.media-amazon.com/images/M/MV5BMjE2YjdkNDctMDg1MS00MjBjLWIyZjEtZWM1ZjczNTAzZGEyXkEyXkFqcGc@._V1_.jpg", "In the tense 72 hours before D-Day, General Dwight D. Eisenhower and Captain James Stagg face an impossible choice--launch the most dangerous seaborne invasion in history or risk losing the war altogether.", "Drama, History, Thriller", "100", "PG-13", "world war two, seaborne invasion, invasion, d day, bloody water", "GB", "11", "UP 25", "Anthony Maras", "David Haig, Anthony Maras", "Andrew Scott, Brendan Fraser, Kerry Condon", "Andrew Scott, Brendan Fraser, Kerry Condon, Chris Messina", "", "USD 5,811,480", "USD 15,252,785", "USD 18,419,749", "Camber Sands, Camber, East Sussex, England, UK", "English", "", "1.85 : 1", "Color", "1", "0", "Movie", "False", "False", "False"
"The Death of Robin Hood", "6.4", "2679", "https://www.imdb.com/title/tt32273171/", "https://m.media-amazon.com/images/M/MV5BYTRmNzlmZjEtYjkzMC00MmNjLThiOGYtZjM5MjFiZDQyM2IwXkEyXkFqcGc@._V1_.jpg", "Grappling with his past after a life of crime and murder, Robin Hood finds himself gravely injured after a battle he thought would be his last. In the hands of a mysterious woman, he is offered a chance at salvation.", "Action, Adventure, Drama", "122", "R", "robin hood character, five word title, snowstorm, campfire, bearded man", "US", "12", "UP 27", "Michael Sarnoski", "", "Hugh Jackman, Jodie Comer, Bill Skarsgård", "Hugh Jackman, Jodie Comer, Bill Skarsgård, Jade Croot", "", "USD 2,867,662", "USD 2,867,662", "USD 3,167,143", "Northern Ireland, UK", "English", "Dolby Surround 7.1, Dolby Surround 5.1, Dolby Atmos", "1.66 : 1, 1.78 : 1, 2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"The Odyssey", "0", "0", "https://www.imdb.com/title/tt33764258/", "https://m.media-amazon.com/images/M/MV5BZDY2NTkxMWQtMmNkMC00NmNjLWIzMmItNmEyMmRmMDk2YmY2XkEyXkFqcGc@._V1_.jpg", "After the Trojan War, Odysseus faces a dangerous voyage back to Ithaca, meeting creatures like the Cyclops Polyphemus, Sirens, and Calypso along the way.", "Adventure, Drama, Fantasy", "172", "R", "ancient greece, greek, based on epic poem, epic poem, odysseus character", "GB", "13", "DOWN 3", "Christopher Nolan", "Christopher Nolan, Homer", "Matt Damon, Tom Holland, Anne Hathaway", "Matt Damon, Tom Holland, Anne Hathaway, Robert Pattinson", "USD 250,000,000", "", "", "", "Messinia, Peloponnese region, Greece", "English", "IMAX 6-Track, Dolby Atmos, Dolby Surround 7.1, Dolby Surround 5.1, Dolby Digital", "", "Color", "0", "0", "Movie", "False", "False", "False"
"Supergirl", "5.9", "5873", "https://www.imdb.com/title/tt8814476/", "https://m.media-amazon.com/images/M/MV5BMmJkOTE0MWUtY2E5OS00NzEyLWI4NjEtYzQzYzFmMjk5ODE3XkEyXkFqcGc@._V1_.jpg", "Kara Zor-El, aka Supergirl, joins forces with an unlikely companion on an interstellar journey of vengeance and justice when an unexpected adversary strikes too close to home.", "Action, Adventure, Drama", "107", "PG-13", "animal, pet, dog, blond hair, supergirl character", "US", "14", "UP 7", "Craig Gillespie", "Ana Nogueira, Jerry Siegel, Joe Shuster", "Milly Alcock, David Corenswet, Eve Ridley", "Milly Alcock, David Corenswet, Eve Ridley, Matthias Schoenaerts", "USD 175,000,000", "", "", "", "Iceland", "English", "Dolby Digital, Dolby Atmos, IMAX 6-Track", "2.39 : 1", "Color", "0", "2", "Movie", "False", "False", "False"
"Leviticus", "6.8", "3411", "https://www.imdb.com/title/tt39143902/", "https://m.media-amazon.com/images/M/MV5BZjVkZjIxMzItMzYyMi00ODMwLWEwMWQtMjhhMTkwMGI5MWEyXkEyXkFqcGc@._V1_.jpg", "Two teenage boys must escape a violent entity that takes the form of the person they desire most - each other.", "Horror, Romance, Sci-Fi", "88", "R", "homoerotism, homoerotic, gay, gay interest, gay teenager", "AU", "15", "UP 72", "Adrian Chiarella", "", "Joe Bird, Stacy Clausen, Jeremy Blewitt", "Joe Bird, Stacy Clausen, Jeremy Blewitt, Ewen Leslie", "", "USD 2,747,500", "USD 2,747,500", "USD 2,747,500", "Bacchus Marsh, Victoria, Australia", "English", "", "", "Color", "0", "2", "Movie", "False", "False", "False"
"They Will Kill You", "6.3", "35179", "https://www.imdb.com/title/tt31728330/", "https://m.media-amazon.com/images/M/MV5BODIzZGNhNGUtOWM2My00ODM4LThmOWQtNTkzMzYwMTZhYzU1XkEyXkFqcGc@._V1_.jpg", "A woman takes a job as a housekeeper in a NYC high-rise, unaware of the building&apos;s history of disappearances. She soon realizes the community is shrouded in mystery.", "Action, Comedy, Horror", "94", "R", "one person army action, splatter horror, dark comedy, satanism, satanic cult", "ZA", "16", "DOWN 5", "Kirill Sokolov", "Kirill Sokolov, Alex Litvak", "Zazie Beetz, Patricia Arquette, Myha'la", "Zazie Beetz, Patricia Arquette, Myha'la, Paterson Joseph", "USD 20,000,000", "USD 4,970,938", "USD 10,882,152", "USD 19,382,152", "Cape Town, South Africa", "English", "Dolby Digital, Dolby Atmos", "2.20 : 1", "Color", "0", "1", "Movie", "False", "False", "False"
"Huo zhe yan", "7.9", "5781", "https://www.imdb.com/title/tt33311069/", "https://m.media-amazon.com/images/M/MV5BODUyZjg2YzctNGE3Yi00YjhhLTkyZTItZTAwZTNhNDA1ODQzXkEyXkFqcGc@._V1_.jpg", "A father fights fiercely against ruthless kidnappers to save his abducted daughter.", "Action, Crime, Thriller", "113", "R", "martial arts action, tradesman, martial arts, kung fu action, journalist", "HK", "17", "FLAT 0", "Kenji Tanigaki", "Tin Shu Mak, Zhilong Lei, Kwan-Sin Shum", "Miao Xie, Joe Taslim, Enyou Yang", "Miao Xie, Joe Taslim, Enyou Yang, Brian Le", "USD 20,000,000", "USD 2,805,717", "USD 5,600,015", "USD 30,832,853", "Bangkok, Thailand", "Mandarin, English, Thai, Tagalog", "Dolby Digital", "2.39 : 1", "Color", "1", "2", "Movie", "False", "False", "False"
"Toy Story 4", "7.6", "319663", "https://www.imdb.com/title/tt1979376/", "https://m.media-amazon.com/images/M/MV5BMTYzMDM4NzkxOV5BMl5BanBnXkFtZTgwNzM1Mzg2NzM@._V1_.jpg", "When Woody, Buzz, and the gang join Bonnie on a road trip with her new craft project turned toy, Forky, the innocent little spork&apos;s antics launch Woody on a wild quest.", "Animation, Adventure, Comedy", "100", "G", "sequel, talking toy, buzz lightyear character, fourth part, toy story", "US", "18", "UP 57", "Josh Cooley", "John Lasseter, Andrew Stanton, Josh Cooley", "Tom Hanks, Tim Allen, Annie Potts", "Tom Hanks, Tim Allen, Annie Potts, Tony Hale", "USD 200,000,000", "USD 120,908,065", "USD 434,038,008", "USD 1,073,841,394", "Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA", "English", "IMAX 6-Track, Auro 11.1, 12-Track Digital Sound, Dolby Digital, Dolby Surround 7.1, SDDS", "2.39 : 1", "Color", "62", "65", "Movie", "False", "False", "False"
"Your Fault: London", "6.1", "2393", "https://www.imdb.com/title/tt36958376/", "https://m.media-amazon.com/images/M/MV5BNzI2YmMxZWItNjlhOS00ODNmLWEzYjQtYWIyNjc0ZTQwOTZlXkEyXkFqcGc@._V1_.jpg", "A forbidden love story between 18-year-old Noah and stepbrother Nick faces challenges as they pursue different paths - him in business, her at Oxford - while dealing with new relationships and secrets.", "Drama, Romance", "123", "TV-MA", "", "GB", "19", "UP 605", "", "Bella Heesom, Melissa Osborne, Mercedes Ron", "Asha Banks, Matthew Broome, Ray Fearon", "Asha Banks, Matthew Broome, Ray Fearon, Enva Lewis", "", "", "", "", "London, England, UK", "English, Spanish", "Dolby Atmos", "2.39:1", "Color", "0", "0", "Movie", "False", "False", "False"
"Good Luck, Have Fun, Don&apos;t Die", "7", "55780", "https://www.imdb.com/title/tt1341338/", "https://m.media-amazon.com/images/M/MV5BOTQ0NzYzM2QtOWYzMC00MGU5LWJmMTQtYTU1ODU0ZjUwYjk0XkEyXkFqcGc@._V1_.jpg", "A &quot;Man From the Future&quot; arrives at a diner in Los Angeles where he must recruit the precise combination of disgruntled patrons to join him on a one-night quest to save the world from the terminal threat of a rogue artificial intel...", "Action, Adventure, Comedy", "134", "R", "quest, social media, restaurant, cell phone, married", "DE", "20", "UP 45", "Gore Verbinski", "", "Sam Rockwell, Juno Temple, Haley Lu Richardson", "Sam Rockwell, Juno Temple, Haley Lu Richardson, Michael Peña", "USD 20,000,000", "USD 3,644,275", "USD 8,431,443", "USD 9,755,038", "Cape Town, South Africa", "English", "Dolby Atmos", "2.39 : 1", "Color", "1", "2", "Movie", "False", "False", "False"
"Mortal Kombat II", "6.5", "54321", "https://www.imdb.com/title/tt17490712/", "https://m.media-amazon.com/images/M/MV5BNTg2YWNkN2EtMzc1Ny00ZTBhLWFmYTItMmMyNzhjNjhhNmVhXkEyXkFqcGc@._V1_.jpg", "The fan favorite champions -- now joined by Johnny Cage himself -- are pitted against one another in the ultimate battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.", "Action, Adventure, Fantasy", "116", "R", "mortal kombat, based on video game, martial arts, dark fantasy, sequel", "US", "21", "DOWN 9", "Simon McQuoid", "Jeremy Slater, Ed Boon, John Tobias", "Adeline Rudolph, Karl Urban, Martyn Ford", "Adeline Rudolph, Karl Urban, Martyn Ford, Tati Gabrielle", "USD 80,000,000", "USD 38,501,177", "USD 79,669,237", "USD 129,169,237", "Village Roadshow Studios, Oxenford, Queensland, Australia", "English, Spanish", "Dolby Digital, Dolby Surround 7.1, IMAX 6-Track, Auro 11.1, Dolby Atmos", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"How to Make a Killing", "6.5", "29900", "https://www.imdb.com/title/tt4357198/", "https://m.media-amazon.com/images/M/MV5BOTkwY2JjMWYtOGU4YS00ZTg0LWIzYzUtZDkxNDE5NWNkNWM1XkEyXkFqcGc@._V1_.jpg", "Disowned at birth by his obscenely wealthy family, a blue-collar stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.", "Comedy, Drama, Thriller", "105", "R", "family relationships, young, caper crime, satire comedy, dark comedy", "GB", "22", "UP 86", "John Patton Ford", "John Patton Ford, Robert Hamer, John Dighton", "Glen Powell, Margaret Qualley, Jessica Henwick", "Glen Powell, Margaret Qualley, Jessica Henwick, Adrian Lukis", "", "USD 3,488,298", "USD 7,851,600", "USD 21,336,094", "Cape Town, South Africa", "English", "", "2.39 : 1", "Color", "0", "1", "Movie", "False", "False", "False"
"Office Romance", "5.8", "17014", "https://www.imdb.com/title/tt33397980/", "https://m.media-amazon.com/images/M/MV5BZmM0MDlhOTMtNjYxYy00MGI4LWEwODQtZTEyOTFhZTUyMTllXkEyXkFqcGc@._V1_.jpg", "Jackie, President and CEO of Air Cruz, runs a tight ship in her business, including a rigid anti-fraternization policy for all her employees, which is severely tested when a sexy new lawyer begins working for her.", "Comedy, Romance", "114", "R", "male nudity, covered male frontal nudity, erection, romantic comedy, employer employee relationship", "US", "23", "DOWN 15", "Ol Parker", "Brett Goldstein, Joe Kelly", "Jennifer Lopez, Brett Goldstein, Betty Gilpin", "Jennifer Lopez, Brett Goldstein, Betty Gilpin, Edward James Olmos", "", "", "", "", "Kenilworth, New Jersey, USA", "English", "Dolby Digital, Dolby Atmos", "2.35 : 1, 2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Over Your Dead Body", "6.3", "18961", "https://www.imdb.com/title/tt34685692/", "https://m.media-amazon.com/images/M/MV5BMWU2M2YyNTMtZGM4ZC00MDcwLWI3NmItZWM0YjIyOTEyNDZhXkEyXkFqcGc@._V1_.jpg", "A dysfunctional married couple retreats to a secluded cabin to repair their relationship, but each secretly plots to murder the other.", "Action, Comedy, Thriller", "105", "R", "dark comedy, lawnmower, red pepper corn, eating a steak, reference to idaho", "US", "24", "DOWN 11", "Jorma Taccone", "Tommy Wirkola, Nick Ball, John Niven", "Samara Weaving, Jason Segel, Timothy Olyphant", "Samara Weaving, Jason Segel, Timothy Olyphant, Nikolai Kinski", "", "USD 1,393,356", "USD 2,154,696", "USD 2,443,515", "Tampere, Finland", "English", "Dolby Digital", "2.39 : 1", "Color", "1", "0", "Movie", "False", "False", "False"
"Hoppers", "7.3", "66052", "https://www.imdb.com/title/tt26443616/", "https://m.media-amazon.com/images/M/MV5BNzRiMzZlMTMtNmU3OC00MDUwLThmNDUtMTBjZmQ3MWQ4NTljXkEyXkFqcGc@._V1_.jpg", "A 19-year-old animal lover uses technology that places her consciousness into a robotic beaver to uncover mysteries within the animal world beyond her imagination.", "Animation, Adventure, Comedy", "104", "PG", "robot, nature lover, soul transference, beaver, scientist", "US", "25", "DOWN 11", "Daniel Chong", "Jesse Andrews, Daniel Chong, Jordan Harrison", "Piper Curda, Bobby Moynihan, Jon Hamm", "Piper Curda, Bobby Moynihan, Jon Hamm, Kathy Najimy", "USD 150,000,000", "USD 45,349,801", "USD 166,010,783", "USD 372,010,783", "Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA", "English", "Dolby Digital, DTS:X, IMAX 6-Track, Dolby Atmos, Dolby Surround 7.1", "1.85 : 1", "Color", "0", "1", "Movie", "False", "False", "False"
"Toy Story", "8.3", "1180762", "https://www.imdb.com/title/tt0114709/", "https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_.jpg", "A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy&apos;s bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.", "Animation, Adventure, Comedy", "81", "G", "toy, cowboy, toy comes to life, action figure, enemies become friends", "US", "26", "UP 45", "John Lasseter", "John Lasseter, Pete Docter, Andrew Stanton", "Tom Hanks, Tim Allen, Don Rickles", "Tom Hanks, Tim Allen, Don Rickles, Jim Varney", "USD 30,000,000", "USD 29,140,617", "USD 229,947,062", "USD 401,157,969", "Pixar Animation Studios - 1001 W. Cutting Blvd., Richmond, California, USA", "English", "", "", "", "29", "24", "Movie", "False", "False", "False"
"Deep Water", "5.5", "5148", "https://www.imdb.com/title/tt29516222/", "https://m.media-amazon.com/images/M/MV5BN2RjZWRiMDgtOTZiMy00M2MxLWI2M2MtMDU4ODc3MGNhM2E0XkEyXkFqcGc@._V1_.jpg", "A group of international passengers en route from Los Angeles to Shanghai are forced to make an emergency landing in shark-infested waters. Now they must work together in hopes to overcome the frenzy of sharks drawn to the wreckage.", "Action, Drama, Horror", "106", "R", "survival adventure, shark attack, nature horror, animal attack, airplane accident", "ES", "27", "UP 291", "Renny Harlin", "Pete Bridges, Shayne Armstrong, S.P. Krause", "Aaron Eckhart, Ben Kingsley, Angus Sampson", "Aaron Eckhart, Ben Kingsley, Angus Sampson, Lucy Barrett", "USD 40,000,000", "USD 2,103,911", "USD 4,345,643", "USD 5,022,478", "Gran Canaria, Canary Islands, Spain", "English", "", "2.35 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Maternal Instinct", "7.2", "6876", "https://www.imdb.com/title/tt42863533/", "https://m.media-amazon.com/images/M/MV5BMjAwZThiZTctZDJjZS00YWU5LTg4NjgtMDNkOTBmYjg3NGEwXkEyXkFqcGc@._V1_.jpg", "When a Texas state trooper pulled over a woman driving erratically on the highway in 2020, she claimed she had just given birth, but her story didn&apos;t add up.", "Documentary, Crime", "94", "TV-MA", "murder, homicide, deception, fetal abduction, fake pregnancy", "US", "28", "DOWN 2", "Jessica Dimmock", "", "Jessica Brookes, Wade Griffin, Taylor Parker", "Jessica Brookes, Wade Griffin, Taylor Parker, Reagan Simmons-Hancock", "", "", "", "", "", "English", "", "", "Color", "0", "0", "Movie", "False", "False", "False"
"In the Grey", "6.3", "22929", "https://www.imdb.com/title/tt27681354/", "https://m.media-amazon.com/images/M/MV5BMTZkMTIzMTItMTQwZS00MTg4LWE0MTEtM2NiNmUzYjRmMGUxXkEyXkFqcGc@._V1_.jpg", "A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they&apos;re sent to take it back-an impossible heist that erupts into a deadly game of strategy, deception and survival.", "Action, Drama, Thriller", "98", "R", "escape, jeddah saudi arabia, asset seizure, caper, self sacrifice", "GB", "29", "DOWN 13", "Guy Ritchie", "", "Henry Cavill, Jake Gyllenhaal, Eiza González", "Henry Cavill, Jake Gyllenhaal, Eiza González, Carlos Bardem", "", "USD 2,926,879", "USD 5,723,890", "USD 26,167,144", "Tenerife, Canary Islands, Spain", "English", "Dolby Atmos, Dolby Digital", "2.39 : 1", "Color", "1", "0", "Movie", "False", "False", "False"
"Cocktail 2", "8.2", "24764", "https://www.imdb.com/title/tt35064672/", "https://m.media-amazon.com/images/M/MV5BMjE4ZDFiMjctZTk0Yy00Mzk0LWIzMzItZmRjZTM0YzBjYmRiXkEyXkFqcGc@._V1_.jpg", "After a decade together, Diya and Kunal&apos;s relationship is shaken when Ally, old friend re-enters their lives. What begins as a plan between two women spirals into chaos, triggering hilarious, emotional rollercoaster none of them s...", "Comedy, Drama, Romance", "150", "", "", "IN", "30", "UP 3117", "Homi Adajania", "Tarun Jain, Luv Ranjan", "Kriti Sanon, Shahid Kapoor, Rashmika Mandanna", "Kriti Sanon, Shahid Kapoor, Rashmika Mandanna", "", "", "", "", "", "Hindi", "Dolby Atmos, Dolby Digital", "2.39:1", "Color", "0", "0", "Movie", "False", "False", "False"
